title,website,phone,address,content,Emails
ECOES Espacio Común de Educación Superior,http://www.ecoes.unam.mx/,+52 55 5550 7168,"Ex tienda UNAM (atrás de la tienda de deportes),Circuito Norponiente del Estadio Olímpico Universitario, Cd. Universitaria, CP, Coyoacán, 04510 Ciudad de México, México",Error scraping content,Error extracting emails
LABORATORIO DE PALEOMAGNETISMO GEOFISICA NUCLEAR CIENCIAS DEL MAR,http://www.unam.mx/,,"Ciudad Universitaria, Cto. Exterior, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Oficinas Administrativas,http://www.ilef.com.mx/,+52 55 5659 0504,"Odontología 9, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Investigaciones Filológicas,http://www.iifilologicas.unam.mx/,+52 55 5622 7485,"Circuito Maestro, Mario de La Cueva S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro de Estudios China-México (CECHIMEX),http://www.economia.unam.mx/cechimex,+52 55 5622 2195,"s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro De Arte Mexicano,http://www.centrodeartemexicano.edu.mx/,+52 55 5568 3244,"Jardines del Pedregal, 01900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Ciencias Nucleares,https://www.nucleares.unam.mx/,+52 55 5622 4660,"Cto. Exterior S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Salida 3 Odontologia,http://www.odonto.unam.mx/,,"Odontología 69, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Posgrado en Geografía,http://www.posgrado.unam.mx/geografia/,+52 55 5623 7000,"E, Universidad Nacional Autónoma de México, Cto. de los Posgrados S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Edificio DGB ANEXO,https://www.fea.unam.mx/SSL/CentroDatos.html,+52 55 5622 3599,"Cto. Exterior s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNAM Coordinación General de Planeación y Simplificación de la Gestión Institucional,https://www.planeacion.unam.mx/,+52 55 5622 6079,"Cto. Centro Cultural 20, Insurgentes Cuicuilco, Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Investigaciones Económicas UNAM,http://www.iiec.unam.mx/,+52 55 5622 7250,"Circuito Mario de la Cueva,Ciudad de la Investigación en Humanidades, C.U., 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Dirección General de Incorporación y Revalidación de Estudios,http://www.dgire.unam.mx/,+52 55 5622 6024,"Cto. Centro Cultural S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Investigaciones en Materiales - UNAM,https://www.iim.unam.mx/,+52 55 5622 4500,"Circuito de la, Circuito Exterior, Investigación Científica S/N, C.U., 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Visitas Guiadas Campus Central de CU UNAM,https://www.facebook.com/campuscentralcu,+52 55 5616 3895,"Zona Comercial del Campus Central, de la Ciudad Universitaria, Ciudad Universitaria, 04510 Coyoacan, CDMX, México",Error scraping content,Error extracting emails
CRAI UNAM,http://crai.unam.mx/,+52 55 5622 6666 ext. 82270,"Mario de La Cueva 20, Insurgentes Cuicuilco, Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Secretaría de Servicios Escolares de la Facultad de Medicina UNAM,https://escolares.facmed.unam.mx/,+52 55 5623 2485,"Circuito Escolar, Ciudad Universitaria, Avenida Universidad No. 3000, Facultad de Medicina, Edificio ""A"" Planta Baja, Circuito Escolar, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Astronomía UNAM,https://www.astroscu.unam.mx/,,"Cto. Bicipuma 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento de Salud Digital (antes Informática Biomédica),http://ib.facmed.unam.mx/,+52 55 5623 2470,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
DEPARTAMENTO DE EMBRIOLOGÍA,http://www.facmed.unam.mx/,+52 55 5623 2352,"Av. Universidad 3000, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Secretaría del Consejo Técnico, Facultad de Medicina UNAM",http://consejo.facmed.unam.mx/,,"Escolar 101, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Facultad de Medicina Veterinaria y Zootecnia UNAM,http://www.fmvz.unam.mx/,+52 55 5622 5864,"Universidad Nacional Autónoma de México, Ciudad Universitaria, Av. Universidad #3000, Colonia, C.U., Coyoacán, 04510 Ciudad de México, México",Error scraping content,Error extracting emails
"División Sistema Universidad Abierta - Psicología, UNAM",http://sua.psicologia.unam.mx/,+52 55 5622 2231,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Posgrado en C. e I. de la Computación UNAM,http://www.mcc.unam.mx/,,"Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento de Matemáticas,http://www.matematicas.unam.mx/,+52 55 5622 4858,"Departamento de Matemáticas, D.F., Investigación Científica, C.U., Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Autónoma Metropolitana Las Animas,http://www.xoc.uam.mx/,+52 55 5483 4000,"Av. Aquiles Serdán S/N, Santiago Tulyehualco, Xochimilco, 16700 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Insurgentes Iztapalapa Santa Martha,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calzada Ermita Iztapalapa #4018 esquina con, Eje 5 Sur, Col. Paraje Zacatepec, 09500 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto Tecnológico de Tláhuac,https://tlahuac.tecnm.mx/,+52 55 7312 5616,"Av Estanislao Ramírez Ruiz 301, Amp. Selene, Tláhuac, 13420 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
TecNM - Instituto Tecnológico de Tláhuac II,http://www.tlahuac2.tecnm.mx/,+52 55 5848 4218,"Camino Real 625, Jardines del Llano, Tláhuac, 13550 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Dirección General de Proveeduría UNAM,http://www.proveeduria.unam.mx/,,"Av. Revolución 2040, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
U.N.A.M. Dirección General de Comunicación Social,http://www.dgcs.unam.mx/,+52 55 5550 7087,"Escolar 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Escuela Nacional de Lenguas, Lingüística y Traducción UNAM",http://enallt.unam.mx/,+52 55 5622 0650,"Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Instituto de Investigaciones Biomédicas,http://www.biomedicas.unam.mx/,+52 55 5622 8902,"Circuito, Mario de La Cueva s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Escuela de Música G. Martell,http://gmartell.com/,+52 55 5658 5893,"Cerro Tlapacoyan 7, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Posgrado en Bibliotecología y Estudios de la Información,http://bibliotecologia.posgrado.unam.mx/,+52 55 5623 7032,"Edificio H, 1er. nivel, H-104, Unidad de Posgrado Circuito de Posgrados, Coyoacán, C.U., 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
ENCiT Escuela Nacional de Ciencias de la Tierra,http://www.encit.unam.mx/,,"Investigación Científica S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Preparatoria CUAM CDMX,http://www.cuam.edu.mx/,+52 55 5593 6455,"Calz. de las Águilas 350, Las Águilas, Álvaro Obregón, 01710 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
ITAM Salones PF,https://www.itam.mx/,+52 55 5628 4000,"Chihuahua 49, Tizapán San Ángel, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"EPIC Lab: Centro ITAM de Creatividad, Innovación y Emprendimiento",https://www.epiclab.itam.mx/,+52 55 5628 4000,"Río Hondo 1-Edificio 5, Progreso Tizapán, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Mundo ITAM,http://mundoitam.com/,+52 55 5628 4000,"Río Hondo #1, Progreso Tizapán, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Campos Deportivos de Santa Lucía,http://lasalle.mx/,+52 55 5602 1130,"Av. Tamaulipas 3, Zona Federal, Álvaro Obregón, 01357 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento Académico de Lenguas,http://lenguas.itam.mx/,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
IMELE Centro de Enseñanza Superior,http://www.imele.com.mx/,+52 55 8435 6461,"Barranca Pilares 18, Pilares Águilas, Álvaro Obregón, 01049 Álvaro Obregón, CDMX, México",Error scraping content,Error extracting emails
Departamento Académico de Matemáticas,http://departamentodematematicas.itam.mx/,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Escuela Nacional de Lenguas Lingüística y Traducción, Edificio C",http://enallt.unam.mx/,+52 55 5622 2888,"Av. San Jerónimo 152, Loreto y Campamento, Coyoacán, 01090 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
FCA UNAM CU,http://www.fca.unam.mx/,,"Cto. Exterior, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento Académico de Estadística,http://estadistica.itam.mx/,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNAM - Facultad de Medicina- Depto. Educacion Medica,http://www.facmed.unam.mx/,+52 55 5616 2346,"Av. Universidad 3000 Circuito, Interior Edif. B, C.U., 04510 Ciudad de México, México",Error scraping content,Error extracting emails
CULTURES,http://www.cultures.edu.mx/,+52 55 6547 6092,"Miramar, sineo, Miravalle, Benito Juárez, 03580 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNIDEP Corporativo,https://unidep.mx/,+52 800 253 6249,"Calle Iglesia 2-Piso 3, Tizapán San Ángel, Loreto y Campamento, Álvaro Obregón, 01090 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNAM: División de Investigación de la Facultad de Contaduria y Administración,http://www.fca.unam.mx/ubicacion.php,,"Investigación Científica 74, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
División de Ingeniería Civil y Geomatica - Facultad de Ingeniería,http://dicyg.fi-c.unam.mx/,,"Cto. Exterior 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro Universitario Bonampak Tlalpan,https://cub.edu.mx/,+52 55 5086 4032,"Calz. de Tlalpan 1524, Miravalle, Benito Juárez, 03580 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
División de Estudios de Posgrado de la Facultad de Economía,http://www.depfe.unam.mx/,+52 55 5622 6637,"Circuito, Mario de La Cueva S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro Universitario Cúspide de México,http://centrouniversitariocuspidedemexico.com.mx/,+52 55 5686 4881,"5 de Mayo No.122, San Lucas, Iztapalapa, 09000 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Facultad de Odontología UNAM,http://www.odonto.unam.mx/,+52 55 5623 2201,"8RM9+P7, Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Facultad de Economía - Edificio Anexo,http://www.economia.unam.mx/,+52 55 5622 2195,"Universidad Nacional Autónoma de México Av. Universidad, Av. Copilco 3000, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UTEL - Centro de Atención Personalizada Tlalpan,http://utel.edu.mx/?utm_source=google&utm_medium=maps&utm_campaign=link_google_maps&utm_content=Tlalpan,+52 55 8977 0700,"Calzada de Tlalpan No. 2148 Oficinas 8 y 9, primer piso Col. Campestre Churubusco Del, Tlalpan, 04200 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento Académico de Administración,http://departamentodeadministracion.itam.mx/,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
CiES Colegio Internacional de Educación Superior,http://www.cies.online/,+52 55 5681 4287,"Rómulo O'Farrill 351, Olivar de los Padres, Álvaro Obregón, 01780 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad DCK Ermita,http://www.dckermita.com/,+52 55 5445 6377,"Ermita Iztapalapa 452, Emperador Cacama, Iztapalapa, 09089 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UTP Coyoacán,https://www.universidadtecnologicaelpuerto.com/,+52 56 1187 9387,"Jardín 14, Atlántida, Coyoacán, 04370 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Departamento Académico de Derecho,http://departamentodederecho.itam.mx/,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
IMPo Instituto Mexicano de Psicooncología Plantel Tlalpan,http://www.impo.org.mx/,+52 55 6393 2000,"Calz. de Tlalpan 1471, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
ULIM - Universidad de las Lenguas Indígenas de México,https://www.inpi.gob.mx/ulim/,+52 55 5593 0465,"Blvd. Adolfo López Mateos 160, Los Alpes, Álvaro Obregón, 01060 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
CURSOS COMIPEMS y a la UNIVERSIDAD,https://www.facebook.com/cursosuniversidadycomipems,+52 55 5607 8200,"C. Morelos 137-Local B, Valle de Luces 3ra Secc, Iztapalapa, 09800 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
punto p8,https://www.instagram.com/anarcosprepa8_?igsh=MTA3NTFtemJqdnVyNw==,+52 55 7191 7799,"Francisco de P.Miranda 561, Merced Gómez, Álvaro Obregón, 01480 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidades para el Bienestar Benito Juárez García (UBBJ) Sede Álvaro Obregón,https://www.facebook.com/profile.php?id=100041754259052&mibextid=LQQJ4d,,"Esquina, Av. Toluca, Blvd. Adolfo López Mateos s/n, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Nuevo Siglo Universidad Taxqueña,https://www.facebook.com/drpies.sanos.37/,+52 56 2127 5939,"Cerro Coporo 94, Campestre Churubusco, Coyoacán, 04200 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Rosario Castellanos Campus Coyoacán,https://www.rcastellanos.cdmx.gob.mx/sedes,,"San Eleuterio SN-S, Pedregal de Sta Úrsula, Coyoacán, 04600 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Facultad de Contaduría y Administración UNAM,http://www.fca.unam.mx/,+52 55 5622 8288,"Cto. Exterior, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNAM Facultad de Medicina Veterinaria,http://www.fmvz.unam.mx/,+52 55 5848 0514,"Av. Cruz Blanca 486, Tlalpan, San Miguel Topilejo, 14500 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Anáhuac México Campus Sur,https://www.anahuac.mx/mexico,+52 55 5628 8800,"Av. de los Tanques 865, Torres de Potrero, Álvaro Obregón, 01840 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Nacional Unipol,https://www.facultadlatinoamericana.edu.com/,+52 55 5615 2454,"Goya 59, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
ITAM - Instituto Tecnológico Autónomo de México,http://www.itam.mx/es/,+52 55 5628 4000,"Río Hondo 1, Altavista, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNID Campus Taxqueña,http://www.unid.edu.mx/,+52 55 5544 8121,"Cerro de Jesús 67, Country Club Churubusco, Coyoacán, 04220 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Simón Bolívar,http://www.usb.edu.mx/,+52 55 5629 9700,"Av. Río Mixcoac 48, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Anahuac,https://www.anahuac.mx/,,"Av Carlos Lazo, San José del Olivar, Torres de Potrero, Álvaro Obregón, 01770 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro Universitario de Estudios Jurídicos,http://www.cuej.edu.mx/,+52 55 5575 9840,"Municipio Libre 103, Portales Nte, Benito Juárez, 03303 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNIVERSIDAD INSURGENTES PLANTEL ERMITA,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Ermita Iztapalapa 1693, 8va Amp San Miguel, Iztapalapa, 09837 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Tres Culturas | Iztapalapa | UTC,https://www.utc.mx/,+52 55 8842 5022,"Ermita Iztapalapa 1729, El Manto, Iztapalapa, 09830 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UACM San Lorenzo Tezonco,https://www.uacm.edu.mx/Inicio/Planteles_y_Sedes/San_Lorenzo_Tezonco,+52 55 5858 0538,"Prol. San Isidro 151, San Lorenzo Tezonco, Iztapalapa, 09790 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UIN - Universidad Insurgentes Plantel Sur I,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Plantel Sur I, Calz. de Tlalpan 1064, Nativitas, Benito Juárez, 03500 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
CEPIPSA Facultad de Medicina Veterinaria y Zootecnia,http://www.fmvz.unam.mx/,,"Emiliano Zapata 177, San Miguel Topilejo, Tlalpan, 14500 San Miguel Topilejo, CDMX, México",Error scraping content,Error extracting emails
Programa Universitario de Estudios del Desarrollo,http://www.pued.unam.mx/,+52 55 5622 0889,"Av. Universidad 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Insurgentes Plantel Sur II,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 1148 Col, Carmen, Benito Juárez, 03540 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNIREM - Universidad de la República Mexicana,http://www.unirem.edu.mx/,+52 55 5037 0100,"Av. Tlahuac 4761, El Vergel, Iztapalapa, 09880 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
