title,website,phone,address
Universitario Conversa Moctezuma,http://www.conversa.com.mx/,+52 55 2235 0481,"Calz. Ignacio Zaragoza 81, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
ENED - Escuela Nacional de Entrenadores Deportivos,,+52 55 5927 5200,"Añil S/N, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México"
Wonder,,,"Av. Iztacalco, Agrícola Pantitlán, Iztacalco, 08100 Ciudad de México, CDMX, México"
IFICED,http://www.ificed.mx/,+52 55 5648 4199,"Av. Río Churubusco, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México"
UTBE,,,"C. Genaro García 116, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
Universidad ADO,https://universidad.mobilityado.com/,+52 55 5133 1100,"Av. F.F.C.C. Industrial 240, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, México"
Coders Unknow,,+52 55 3704 6181,"cuarta cerrada río churubusco av, miguel hidalgo, 08100 CDMX, México"
Centro Cultural Verssux S.C.,,+52 55 5846 2357,"Calle Privada Mariano Abasolo 24, San Miguel Ajusco, Tlalpan, 14700 San Miguel Ajusco, CDMX, México"
Escuela Superior de Turismo,,,"Carlos A. Lindbergh, Aviación Civil, Venustiano Carranza, 15740 Ciudad de México, CDMX, México"
Colegio Williams,http://www.colegiowilliams.edu.mx/,+52 55 1087 9797,"Av. La Felicidad SN, Tlalpan, 14700 San Miguel Ajusco, CDMX, México"
Lovenglish,https://wa.me/message/RUHBKDGQ2CXBP1,+52 55 8745 4228,"Cda. Cruz Eslava 2, Tlalpan, 14735 Lomas de Tepemecatl, CDMX, México"
UNIVERSIDAD PANAMERICANA,https://www.up.edu.mx/es/mexico,+52 55 5482 1600,"Cda. Augusto Rodin No. 498, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México"
tecnologico gustavo a madero,,,"C. 4, Agrícola Pantitlán, Iztacalco, 08100 Ciudad de México, CDMX, México"
ESEF - Escuela Superior de Educación Física,https://www.aefcm.gob.mx/dgenam/ESEF/quienes-somos.html,+52 55 5519 5061,"Atletas S/N, Puerta 4, Iztacalco, 08010 Ciudad de México, CDMX, México"
Universidad Del Pedregal,http://universidaddelpedregal.edu.mx/,+52 55 5603 5049,"Calle Transmisiones 51, Coapa, Ex de San Juan de Dios, Tlalpan, 14377 Ciudad de México, CDMX, México"
"Ciudad Universitaria, UNAM",,,"Azafrán 18, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México"
Universidad Panamericana en línea (Pedagogía y Filosofía),https://movil.up.edu.mx/universidad-panamericana-en-linea,+52 55 5482 1600,"Cda. Augusto Rodin 460, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México"
Universidad Humanitas Campus Santa Fe,http://www.humanitas.edu.mx/,+52 55 5292 2214,"C. Guillermo Gonzalez Camarena 1900, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México"
Universidad de la Comunicación,http://www.uc.edu.mx/,+52 55 4913 5206,"Zacatecas 120, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México"
Universidad Intercontinental Campus Sur,,,"4017, de, Av. Insurgentes Sur 3965, Tlalcoligia, Tlalpan, 14420 Ciudad de México, CDMX, México"
Centro Universitario Columbia,https://www.universidadcolumbia.edu.mx/,+52 55 5530 1854,"Xochicalco 195, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México"
Universidad Nacional Autónoma de México,https://www.unam.mx/,,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Universidad Insurgentes Plantel Tláhuac,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Av. Tlahuac 1789, San Antonio, Iztapalapa, 09900 Ciudad de México, CDMX, México"
Universidad de Londres plantel Luis Cabrera,,+52 55 1328 5238,"C. Orizaba # 9, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México"
Universidad de Londres Plantel Orizaba,,+52 55 5265 5265,"Cda. Orizaba 189, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México"
Universidad Mexicana del Evangelio de Cristo UMEC,https://www.umec.com.mx/,+52 55 6899 2315,"Carr. Federal A Cuernavaca Km. 36, 5 Ciclopista, Tlalpan 1500, Tlalpan, Ciudad de México, CDMX, México"
Universidad Pontificia de México,,,"Calz. de Tlalpan 4979, Tlalpan Centro II, Tlalpan, 14000 Ciudad de México, CDMX, México"
Universidad Tenochtitlan,,+52 55 5701 2650,"Eje 5 Ote 375, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, México"
UVM Tlalpan - Universidad del Valle de México,https://uvm.mx/la-uvm/campus/tlalpan/?utm_source=GOOGLE_MY_BUSINESS&utm_medium=ORGANIC&utm_campaign=GM_UVM_TLP&utm_term=CONOCER_CAMPUS&utm_content=PRESTIGIO,+52 800 000 0886,"Calle San Juan de Dios 6, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, México"
Universidad De Londres Campus Insurgentes,,+52 55 5564 8659,"Av. de los Insurgentes Sur 317, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, México"
Universidad Uk,http://universidaduk.com/,+52 800 099 1250,"Eje Central Lázaro Cárdenas 13, Colonia Centro, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México"
Universidad Insurgentes Plantel San Ángel,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Av. Revolución #1836 Col. San Ángel Del, Álvaro Obregón, 01000 Ciudad de México, CDMX, México"
UIN - Universidad Insurgentes Plantel Tlalpan,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 390, Viaducto Piedad, Iztacalco, 08200 Ciudad de México, CDMX, México"
UIN - Universidad Insurgentes Plantel Viaducto,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 538, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, México"
UNIVERSIDAD INSURGENTES PLANTEL VILLA DE CORTÉS,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 934, Nativitas, Benito Juárez, 03500 Ciudad de México, CDMX, México"
Universidad Autónoma Metropolitana,http://www.uam.mx/,+52 55 5483 4000,"Prol. Canal de Miramontes 3855, Coapa, Los Colorines, Tlalpan, 14387 Ciudad de México, CDMX, México"
Universidad Westhill,http://www.uw.edu.mx/,+52 55 8851 7000,"Domingo García Ramos Nº 56 Cuajimalpa Col, Prados de la Montaña, 05610 Ciudad de México, CDMX, México"
CUIN,http://cuin.edu.mx/,+52 55 1285 3964,"Miguel Ocaranza 127, Merced Gómez, Álvaro Obregón, 01600 Ciudad de México, CDMX, México"
Universidad Motolinía del Pedregal,https://universidadmotoliniadelpedregal.com/,+52 55 5568 0559,"Av. de Las Fuentes 525, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, México"
"Universidades para el Bienestar ""Benito Juárez García"" sede Cuauhtémoc",https://ubbj.gob.mx/carrera,+52 55 5518 2689,"Luis González Obregón 9, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 11270 Ciudad de México, CDMX, México"
La Universidad Canina,,+52 55 1836 5076,"San Miguel Ajusco, Tlalpan, 14710 San Miguel Ajusco, Tlalpan, México"
DIVISION SISTEMA UNIVERSIDAD ABIERTA Y EDUCACION A DISTANCIA,http://fcaenlinea1.unam.mx/,,"Facultad de contaduría 2do piso, Cto. Exterior 300, Coyoacán, CDMX, México"
Universidad Insurgentes Plantel Coruña,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 400, Viaducto Piedad, Iztacalco, 08200 Ciudad de México, CDMX, México"
Universidad Juan Calvino Internacional Facultad de Teología,,,"Retorno 1 de Fernando I Calderón 30, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
Universidad Pontificia De México,http://www.pontificia.edu.mx/,+52 55 5573 0600,"Guadalupe Victoria 98, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, México"
Universidad de Londres - Campus Vértiz,,+52 55 1328 5238,"Calle Dr Velasco 73, Cuauhtémoc, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, México"
"Tecnologico Iberoamericano Coyoacan, S.C.",,+52 55 5607 2795,"Anselmo de la Portilla, Calz. Ignacio Zaragoza 257, 15900 Ciudad de México, CDMX, México"
Akure,,,"Universidad Nacional, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México"
Universidad Intercontinental,http://www.uic.mx/,+52 55 5487 1300,"Av. Insurgentes Sur, Calz. de Tlalpan 4303, Sta Úrsula Xitla, 14420 Ciudad de México, CDMX, México"
Universidad Europea Campus Aeropuerto,http://liceo-europeo.edu.mx/,+52 55 5785 1604,"J, Av. Jesús G. Y Villa 120, Jardín Balbuena, Venustiano Carranza, 15000 Ciudad de México, CDMX, México"
Universidad ICEL - Campus Ermita,http://www.icel.edu.mx/,+52 55 5613 1344,"Ermita Iztapalapa 1907, Los Ángeles, Iztapalapa, 09710 Ciudad de México, CDMX, México"
"Departamento de Cirugía, FACMED UNAM",http://cirugia.facmed.unam.mx/,+52 55 5623 2160,"AV. UNIVERSIDAD 3000, Escolar SN-S, Coyoacán, 04510 CDMX, México"
Dirección General de Obras y Conservación UNAM,http://www.obras.unam.mx/,,"Av. Revolución 2045, C.U., Coyoacán, 01090 Ciudad de México, CDMX, México"
Auxilio UNAM Base4,,,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
"Instituto de Religión Churubusco, Iglesia de Jesucristo de los Santos de los Últimos Días",https://www.churchofjesuschrist.org/si/institute?utm_source=gmb&utm_medium=yext&y_source=1_MTAwOTE4NDQ5NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+52 55 5658 4042,"Filosofía y Letras 29, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Escuela,,+52 55 5290 1895,"Medicina 27, Copilco Universidad, Coyoacán, 01000 Ciudad de México, CDMX, México"
Cantera Oriente,,,"04369, Av. Antonio Delfin Madrigal 178, C.U., Coyoacán, Ciudad de México, CDMX, México"
ECOES Espacio Común de Educación Superior,http://www.ecoes.unam.mx/,+52 55 5550 7168,"Ex tienda UNAM (atrás de la tienda de deportes),Circuito Norponiente del Estadio Olímpico Universitario, Cd. Universitaria, CP, Coyoacán, 04510 Ciudad de México, México"
Deporteca,https://deporte.unam.mx/noticias/noticia.php?id=994,,"C.U., 04510 Ciudad de México, CDMX, México"
Secretaria de Relaciones y Extensión Universitaria COE,,,"Cto. Exterior s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Impresiones Baratas,,,"04360, Arquitectura 37, Copilco Universidad, Coyoacán, Ciudad de México, CDMX, México"
Depto. de Salud Ambiental,,,"Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
LABORATORIO DE PALEOMAGNETISMO GEOFISICA NUCLEAR CIENCIAS DEL MAR,http://www.unam.mx/,,"Ciudad Universitaria, Cto. Exterior, Coyoacán, 04360 Ciudad de México, CDMX, México"
Escuela Mexicana Canadiense de Inglés,http://www.emci.com.mx/,+52 55 5658 8558,"Cerro Tlapacoyan 4, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Uniformes Stanford Universidad,http://www.uniformesstanford.mx/,+52 55 5086 3454,"Arquitectura 62, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
UNIVERSIDAD NACIONAL AVIONOMA Đ MEXICO,,,"Av. Universidad, Copilco Universidad, Coyoacán, 04510 Ciudad de México, CDMX, México"
Entrada de Profesores - FCPyS,,,"Mario de La Cueva, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Auditorio de los Talleres de Zona Cultural,,,"Cto. Centro Cultural, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
LABORATORIO MECANICA DE SUELOS,,,"Cto. Exterior, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Oficinas Administrativas,http://www.ilef.com.mx/,+52 55 5659 0504,"Odontología 9, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Instituto de Investigaciones Filológicas,http://www.iifilologicas.unam.mx/,+52 55 5622 7485,"Circuito Maestro, Mario de La Cueva S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Centro de Idiomas de la FCA - UNAM,http://idiomas.fca.unam.mx/,+52 55 5622 8479,"Av Universidad, Circuito Exterior Edificio G, C.U., Coyoacán, 04510 Ciudad de México, México"
CENTRO DE ESTUDIOS China-México,,,"Universidad, Escolar 3000, Coyoacán, 04360 Ciudad de México, CDMX, México"
Club Antifaz Universidad,https://www.gaymexicomap.com/detail.php?l=Club-Antifaz-Universidad&lang=es,+52 56 2732 2661,"Av. Antonio Delfin Madrigal 110-A, Copilco el Alto, Coyoacán, 04369 Ciudad de México, CDMX, México"
Servicio Administrativo de la Universidad Nacional Autonoma de México,,+52 55 5665 2044,"Cultural de C U 6652 S/n, Copilco el Bajo, Álvaro Obregón, 01000 Ciudad de México, CDMX, México"
Terminal Cetram Metro Universidad - Anden B,,,"C.U., 04510 Ciudad de México, CDMX, México"
Centro de Estudios Financieros FE-UNAM,,,"Universidad, Escolar 3000, Coyoacán, 04360 Ciudad de México, CDMX, México"
Centro de Estudios China-México (CECHIMEX),http://www.economia.unam.mx/cechimex,+52 55 5622 2195,"s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Capacitación Universidad ICEL,,,"Calle Iglesia 270A, Tizapán San Ángel, Loreto y Campamento, Álvaro Obregón, 01090 Ciudad de México, CDMX, México"
Centro De Arte Mexicano,http://www.centrodeartemexicano.edu.mx/,+52 55 5568 3244,"Jardines del Pedregal, 01900 Ciudad de México, CDMX, México"
CISEE,,,"Ingeniería 1, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
ESTUDIA FOTO COPILCO,http://www.estudiafoto.mx/,+52 55 7775 0540,"Filosofía y Letras 35, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
IO Workshops,http://www.ioworkshops.com/,+52 55 8157 9627,"Odontología 74-1er Piso, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Centro de Investigación y Servicios de Educación Especial,,+52 55 9386 6421,"Ingeniería 1, Copilco Universidad, Coyoacán, 04510 Ciudad de México, CDMX, México"
Instituto de Ciencias Nucleares,https://www.nucleares.unam.mx/,+52 55 5622 4660,"Cto. Exterior S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Zona de Laboratorios,http://www.ingenieria.unam.mx/,+52 55 5622 0866,"a un costado del Auditorio Javier Barrios Sierra, Av. Universidad 3000 S/N, Coyoacán, 04350 Ciudad de México, CDMX, México"
Departamento de Patología Clínica,http://www.fmvz.unam.mx/fmvz/servicios/s_patologia.html,,"Universidad 3000, Coyoacán, C.U., 04360 Ciudad de México, CDMX, México"
Salida 3 Odontologia,http://www.odonto.unam.mx/,,"Odontología 69, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Posgrado en Geografía,http://www.posgrado.unam.mx/geografia/,+52 55 5623 7000,"E, Universidad Nacional Autónoma de México, Cto. de los Posgrados S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Edificio DGB ANEXO,https://www.fea.unam.mx/SSL/CentroDatos.html,+52 55 5622 3599,"Cto. Exterior s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
UNAM Coordinación General de Planeación y Simplificación de la Gestión Institucional,https://www.planeacion.unam.mx/,+52 55 5622 6079,"Cto. Centro Cultural 20, Insurgentes Cuicuilco, Coyoacán, 04510 Ciudad de México, CDMX, México"
CIPPS,http://www.cipps.unam.mx/,+52 55 5622 6666 ext. 82340,"Universidad Nacional Autónoma de México, Ciudad Universitaria, Edificio CIPPS-Sótano y Piso 2, Cto. Centro Cultural S/N, Coyoacán, 04510 Ciudad de México, CDMX, México"
Instituto de Investigaciones Económicas UNAM,http://www.iiec.unam.mx/,+52 55 5622 7250,"Circuito Mario de la Cueva,Ciudad de la Investigación en Humanidades, C.U., 04510 Ciudad de México, CDMX, México"
Centro de Enseñanza para Extranjeros (CEPE),http://www.cepe.unam.mx/,+52 55 5622 2474,"Av. Universidad 3002, Col, Copilco Universidad, Coyoacán, 04510 Ciudad de México, CDMX, México"
Dirección General de Incorporación y Revalidación de Estudios,http://www.dgire.unam.mx/,+52 55 5622 6024,"Cto. Centro Cultural S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Programa de Vinculación con los Egresados y Académicos Jubilados de la UNAM,https://www.pveaju.unam.mx/,+52 55 5622 6181,"Universidad Nacional Autónoma de México, Edificio D, Blvd. Cataratas planta baja, Zona Cultural, Coyoacán, 04510 Ciudad de México, CDMX, México"
Instituto de Investigaciones Históricas,http://historicas.unam.mx/,+52 55 5665 0070,"Circuito, Mario de La Cueva S/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
"Instituto de Ciencias Aplicadas y Tecnología, UNAM",,+52 55 5622 8601,"Cto. Exterior S/N, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Instituto de Investigaciones en Materiales - UNAM,https://www.iim.unam.mx/,+52 55 5622 4500,"Circuito de la, Circuito Exterior, Investigación Científica S/N, C.U., 04510 Ciudad de México, CDMX, México"
Trámite credencial de exalumno UNAM,http://www.pveu.unam.mx/,+52 55 5622 6057,"Escolar, Insurgentes Cuicuilco, Coyoacán, 04510 Ciudad de México, CDMX, México"
Arde Center,,+52 55 2820 7539,"Cerro Tlapacoyan 15-local 7, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Visitas Guiadas Campus Central de CU UNAM,https://www.facebook.com/campuscentralcu,+52 55 5616 3895,"Zona Comercial del Campus Central, de la Ciudad Universitaria, Ciudad Universitaria, 04510 Coyoacan, CDMX, México"
CRAI UNAM,http://crai.unam.mx/,+52 55 5622 6666 ext. 82270,"Mario de La Cueva 20, Insurgentes Cuicuilco, Coyoacán, 04510 Ciudad de México, CDMX, México"
Secretaría de Servicios Escolares de la Facultad de Medicina UNAM,https://escolares.facmed.unam.mx/,+52 55 5623 2485,"Circuito Escolar, Ciudad Universitaria, Avenida Universidad No. 3000, Facultad de Medicina, Edificio ""A"" Planta Baja, Circuito Escolar, 04510 Ciudad de México, CDMX, México"
Instituto de Astronomía UNAM,https://www.astroscu.unam.mx/,,"Cto. Bicipuma 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Departamento de Salud Digital (antes Informática Biomédica),http://ib.facmed.unam.mx/,+52 55 5623 2470,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
"Dirección General de Control Presupuestal e Informática, LIC. MARTHA. / DEPTO. RECURSOS HUMANOS.",,,"Av. del Imán S/N, Edificio B, Coyoacan, Zona Cultural, 04510 Ciudad de México, CDMX, México"
Libreria,,,"Filosofía y Letras 16, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
"Auditorio ""Dr. Alberto Guevara Rojas"" / Facultad de Medicina, UNAM",,,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
MATyCA - Expertos en cursos de ingreso,,+52 55 5847 1382,"Ignacio Zaragoza Pte. 38, Tenantitla, Milpa Alta, 12100 San Antonio Tecómitl, CDMX, México"
DEPARTAMENTO DE EMBRIOLOGÍA,http://www.facmed.unam.mx/,+52 55 5623 2352,"Av. Universidad 3000, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México"
Taller Max Cetto,,,"Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Regularizacion Francisco Gonzalez Bocanegra,,+52 55 5847 0192,"12100, Av de Las Palmas 42, Tenantitla, Milpa Alta, Ciudad de México, CDMX, México"
"Programa de Maestría y Doctorado en Arquitectura: Arquitectura, Ciudad y Territorio",,+52 55 5622 0706,"Universidad Nacional Autónoma de México, Unidad Multidisciplinaria Entrada Pte 2º Piso, Escolar, C.U., Coyoacán, 04510 CDMX, México"
Instituto Rosario Castellanos Masa de Juarez,,,"Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX, México"
"Secretaría del Consejo Técnico, Facultad de Medicina UNAM",http://consejo.facmed.unam.mx/,,"Escolar 101, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Facultad de Medicina Veterinaria y Zootecnia UNAM,http://www.fmvz.unam.mx/,+52 55 5622 5864,"Universidad Nacional Autónoma de México, Ciudad Universitaria, Av. Universidad #3000, Colonia, C.U., Coyoacán, 04510 Ciudad de México, México"
Preparatoria Elena Jackson Fiskehunt,,,"Totonacas, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX, México"
"División Sistema Universidad Abierta - Psicología, UNAM",http://sua.psicologia.unam.mx/,+52 55 5622 2231,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Posgrado en C. e I. de la Computación UNAM,http://www.mcc.unam.mx/,,"Escolar, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Departamento de Matemáticas,http://www.matematicas.unam.mx/,+52 55 5622 4858,"Departamento de Matemáticas, D.F., Investigación Científica, C.U., Ciudad de México, CDMX, México"
CESIP,,+52 55 5523 7255,"División Estudios de posgrado, Facultad de Medicina, UNAM, Cto. de los Posgrados 3000-Edificio B Segundo Piso, C.U., 04510 Ciudad de México, CDMX, México"
División de Estudios de Posgrado de la Facultad de Derecho de la UNAM,http://www.posgrado.derecho.unam.mx/,+52 55 5623 0400,"Escolar 3000, Copilco Universidad, Coyoacán, 04510 Ciudad de México, CDMX, México"
UBBJG MILPA ALTA,,,"Veracruz 98, Villa Milpa Alta, Santa Cruz, Milpa Alta, 12000 Villa Milpa Alta, CDMX, México"
Universidad Autónoma Metropolitana Las Animas,http://www.xoc.uam.mx/,+52 55 5483 4000,"Av. Aquiles Serdán S/N, Santiago Tulyehualco, Xochimilco, 16700 Ciudad de México, CDMX, México"
Universidad Insurgentes Iztapalapa Santa Martha,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calzada Ermita Iztapalapa #4018 esquina con, Eje 5 Sur, Col. Paraje Zacatepec, 09500 Ciudad de México, CDMX, México"
Instituto Tecnológico de Tláhuac,https://tlahuac.tecnm.mx/,+52 55 7312 5616,"Av Estanislao Ramírez Ruiz 301, Amp. Selene, Tláhuac, 13420 Ciudad de México, CDMX, México"
TecNM - Instituto Tecnológico de Tláhuac II,http://www.tlahuac2.tecnm.mx/,+52 55 5848 4218,"Camino Real 625, Jardines del Llano, Tláhuac, 13550 Ciudad de México, CDMX, México"
"Copilco, universidad",,,"Cjon. de Corregidora 56, Campestre, Álvaro Obregón, 01040 Ciudad de México, CDMX, México"
Departamento Académico de Economía,,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México"
Escuela Superior de Comercio y Administración Unidad Tetepan,,,"Arteaga 39, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, México"
Departamento Académico de Ciencia Política,,,"Altavista, Álvaro Obregón, 01060 Ciudad de México, CDMX, México"
División de Ciencias Sociales y Humanidades,https://www.ingenieria.unam.mx/dcsyhfi/,+52 55 5622 1397,"Av. Universidad 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
Dirección General de Proveeduría UNAM,http://www.proveeduria.unam.mx/,,"Av. Revolución 2040, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
U.N.A.M. Dirección General de Comunicación Social,http://www.dgcs.unam.mx/,+52 55 5550 7087,"Escolar 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México"
